"","face","pgo","outcome","block","block_trial","obtained","key_pressed","rt","id","condition","trial"
"1","F1",0.7,1,1,1,1,"space",1.33653859795959,"70_SK","go_t_w",1
"2","F1",0.7,1,1,2,0,"space",1.40843246017175,"70_SK","go_t_w",2
"3","F1",0.7,1,1,3,1,"space",1.11641467997833,"70_SK","go_t_w",3
"4","F1",0.7,1,1,4,1,"space",0.825394281055196,"70_SK","go_t_w",4
"5","F1",0.7,1,1,5,1,"space",0.65735093240437,"70_SK","go_t_w",5
"6","F1",0.7,1,1,6,0,"space",0.615354962377751,"70_SK","go_t_w",6
"7","F1",0.7,1,1,7,1,"space",0.819279585230106,"70_SK","go_t_w",7
"8","F1",0.7,1,1,8,1,"space",0.43131125148102,"70_SK","go_t_w",8
"9","F1",0.7,1,1,9,1,"space",0.67826333703124,"70_SK","go_t_w",9
"10","F1",0.7,1,1,10,1,"space",0.53519104651059,"70_SK","go_t_w",10
"11","F1",0.7,1,1,11,1,"space",0.452147886526291,"70_SK","go_t_w",11
"12","F1",0.7,1,1,12,0,"space",0.445210592648436,"70_SK","go_t_w",12
"13","F1",0.7,1,1,13,1,"space",0.345193536944862,"70_SK","go_t_w",13
"14","F1",0.7,1,1,14,0,"space",0.44716218765825,"70_SK","go_t_w",14
"15","F1",0.7,1,1,15,1,"space",0.338169002392533,"70_SK","go_t_w",15
"16","F1",0.7,1,1,16,1,"space",0.412040118635559,"70_SK","go_t_w",16
"17","F1",0.7,1,1,17,0,"space",0.474108386726584,"70_SK","go_t_w",17
"18","F1",0.7,1,1,18,0,"space",0.424038277224099,"70_SK","go_t_w",18
"19","F1",0.7,1,1,19,1,"space",0.609037409345547,"70_SK","go_t_w",19
"20","F1",0.7,1,1,20,0,"None",NA,"70_SK","go_t_w",20
"21","F1",0.7,1,1,21,1,"space",0.348978393594734,"70_SK","go_t_w",21
"22","F1",0.7,1,1,22,1,"space",0.363952093097396,"70_SK","go_t_w",22
"23","F1",0.7,1,1,23,1,"space",0.317890828408053,"70_SK","go_t_w",23
"24","F1",0.7,1,1,24,1,"space",0.873968620526284,"70_SK","go_t_w",24
"25","F1",0.7,1,1,25,0,"space",0.89693918057128,"70_SK","go_t_w",25
"26","F1",0.7,1,1,26,1,"space",0.584781483243205,"70_SK","go_t_w",26
"27","F1",0.7,1,1,27,1,"space",0.637965994250408,"70_SK","go_t_w",27
"28","F1",0.7,1,1,28,0,"space",0.42381277970162,"70_SK","go_t_w",28
"29","F1",0.7,1,1,29,1,"space",0.686860014942795,"70_SK","go_t_w",29
"30","F1",0.7,1,1,30,1,"space",0.692809889287673,"70_SK","go_t_w",30
"31","F1",0.7,1,1,31,0,"space",0.547810455296712,"70_SK","go_t_w",31
"32","F1",0.7,1,1,32,1,"space",0.880706075906346,"70_SK","go_t_w",32
"33","F1",0.7,1,1,33,0,"space",0.858718407329434,"70_SK","go_t_w",33
"34","F1",0.7,1,1,34,1,"space",0.351749266075785,"70_SK","go_t_w",34
"35","F1",0.7,1,1,35,1,"space",0.508719388408281,"70_SK","go_t_w",35
"36","F1",0.7,1,1,36,0,"space",0.867633257112175,"70_SK","go_t_w",36
"37","F1",0.7,1,1,37,1,"space",0.728586716173595,"70_SK","go_t_w",37
"38","F1",0.7,1,1,38,0,"space",0.524571532070695,"70_SK","go_t_w",38
"39","F1",0.7,1,1,39,1,"space",0.901623612337062,"70_SK","go_t_w",39
"40","F1",0.7,1,1,40,1,"space",0.654512742723455,"70_SK","go_t_w",40
"41","F2",0.3,-1,2,1,0,"space",1.40272136566455,"70_SK","no_t_a",41
"42","F2",0.3,-1,2,2,0,"space",0.862540997834003,"70_SK","no_t_a",42
"43","F2",0.3,-1,2,3,0,"space",0.614500667888933,"70_SK","no_t_a",43
"44","F2",0.3,-1,2,4,0,"space",1.06549269095194,"70_SK","no_t_a",44
"45","F2",0.3,-1,2,5,-1,"None",NA,"70_SK","no_t_a",45
"46","F2",0.3,-1,2,6,0,"space",0.765447259389475,"70_SK","no_t_a",46
"47","F2",0.3,-1,2,7,-1,"space",0.702460700189476,"70_SK","no_t_a",47
"48","F2",0.3,-1,2,8,-1,"space",0.902372553902751,"70_SK","no_t_a",48
"49","F2",0.3,-1,2,9,0,"None",NA,"70_SK","no_t_a",49
"50","F2",0.3,-1,2,10,0,"None",NA,"70_SK","no_t_a",50
"51","F2",0.3,-1,2,11,-1,"None",NA,"70_SK","no_t_a",51
"52","F2",0.3,-1,2,12,-1,"space",1.49121812432531,"70_SK","no_t_a",52
"53","F2",0.3,-1,2,13,-1,"None",NA,"70_SK","no_t_a",53
"54","F2",0.3,-1,2,14,-1,"None",NA,"70_SK","no_t_a",54
"55","F2",0.3,-1,2,15,0,"space",0.964219248795416,"70_SK","no_t_a",55
"56","F2",0.3,-1,2,16,0,"space",0.847167017591346,"70_SK","no_t_a",56
"57","F2",0.3,-1,2,17,0,"space",0.85113269487556,"70_SK","no_t_a",57
"58","F2",0.3,-1,2,18,0,"space",0.704199174384485,"70_SK","no_t_a",58
"59","F2",0.3,-1,2,19,0,"space",0.621188616449217,"70_SK","no_t_a",59
"60","F2",0.3,-1,2,20,0,"space",0.718098213679696,"70_SK","no_t_a",60
"61","F2",0.3,-1,2,21,-1,"space",0.589076501619274,"70_SK","no_t_a",61
"62","F2",0.3,-1,2,22,-1,"None",NA,"70_SK","no_t_a",62
"63","F2",0.3,-1,2,23,0,"space",0.623055989493878,"70_SK","no_t_a",63
"64","F2",0.3,-1,2,24,-1,"space",0.848106137789728,"70_SK","no_t_a",64
"65","F2",0.3,-1,2,25,-1,"None",NA,"70_SK","no_t_a",65
"66","F2",0.3,-1,2,26,0,"space",0.396043680711955,"70_SK","no_t_a",66
"67","F2",0.3,-1,2,27,0,"space",0.76503339446208,"70_SK","no_t_a",67
"68","F2",0.3,-1,2,28,-1,"space",0.664976491807465,"70_SK","no_t_a",68
"69","F2",0.3,-1,2,29,0,"space",0.370965760299441,"70_SK","no_t_a",69
"70","F2",0.3,-1,2,30,0,"space",0.696903257939994,"70_SK","no_t_a",70
"71","F2",0.3,-1,2,31,0,"space",0.703905755921369,"70_SK","no_t_a",71
"72","F2",0.3,-1,2,32,0,"space",0.508878776216079,"70_SK","no_t_a",72
"73","F2",0.3,-1,2,33,-1,"space",0.640908329371086,"70_SK","no_t_a",73
"74","F2",0.3,-1,2,34,-1,"None",NA,"70_SK","no_t_a",74
"75","F2",0.3,-1,2,35,-1,"space",0.473798969111158,"70_SK","no_t_a",75
"76","F2",0.3,-1,2,36,-1,"None",NA,"70_SK","no_t_a",76
"77","F2",0.3,-1,2,37,0,"space",0.534763899266181,"70_SK","no_t_a",77
"78","F2",0.3,-1,2,38,-1,"space",1.65869033334093,"70_SK","no_t_a",78
"79","F2",0.3,-1,2,39,0,"space",0.513723803271205,"70_SK","no_t_a",79
"80","F2",0.3,-1,2,40,0,"space",0.53462383119404,"70_SK","no_t_a",80
"81","M1",0.3,1,3,1,1,"None",NA,"70_SK","no_t_w",81
"82","M1",0.3,1,3,2,0,"space",0.717031703985413,"70_SK","no_t_w",82
"83","M1",0.3,1,3,3,0,"space",0.480948780064864,"70_SK","no_t_w",83
"84","M1",0.3,1,3,4,0,"space",0.522932977124583,"70_SK","no_t_w",84
"85","M1",0.3,1,3,5,1,"None",NA,"70_SK","no_t_w",85
"86","M1",0.3,1,3,6,1,"None",NA,"70_SK","no_t_w",86
"87","M1",0.3,1,3,7,0,"None",NA,"70_SK","no_t_w",87
"88","M1",0.3,1,3,8,1,"None",NA,"70_SK","no_t_w",88
"89","M1",0.3,1,3,9,0,"None",NA,"70_SK","no_t_w",89
"90","M1",0.3,1,3,10,0,"None",NA,"70_SK","no_t_w",90
"91","M1",0.3,1,3,11,0,"None",NA,"70_SK","no_t_w",91
"92","M1",0.3,1,3,12,1,"None",NA,"70_SK","no_t_w",92
"93","M1",0.3,1,3,13,0,"None",NA,"70_SK","no_t_w",93
"94","M1",0.3,1,3,14,1,"None",NA,"70_SK","no_t_w",94
"95","M1",0.3,1,3,15,0,"None",NA,"70_SK","no_t_w",95
"96","M1",0.3,1,3,16,1,"None",NA,"70_SK","no_t_w",96
"97","M1",0.3,1,3,17,1,"None",NA,"70_SK","no_t_w",97
"98","M1",0.3,1,3,18,1,"None",NA,"70_SK","no_t_w",98
"99","M1",0.3,1,3,19,1,"None",NA,"70_SK","no_t_w",99
"100","M1",0.3,1,3,20,1,"None",NA,"70_SK","no_t_w",100
"101","M1",0.3,1,3,21,1,"None",NA,"70_SK","no_t_w",101
"102","M1",0.3,1,3,22,1,"None",NA,"70_SK","no_t_w",102
"103","M1",0.3,1,3,23,1,"None",NA,"70_SK","no_t_w",103
"104","M1",0.3,1,3,24,0,"None",NA,"70_SK","no_t_w",104
"105","M1",0.3,1,3,25,1,"None",NA,"70_SK","no_t_w",105
"106","M1",0.3,1,3,26,1,"None",NA,"70_SK","no_t_w",106
"107","M1",0.3,1,3,27,1,"None",NA,"70_SK","no_t_w",107
"108","M1",0.3,1,3,28,0,"None",NA,"70_SK","no_t_w",108
"109","M1",0.3,1,3,29,1,"None",NA,"70_SK","no_t_w",109
"110","M1",0.3,1,3,30,0,"None",NA,"70_SK","no_t_w",110
"111","M1",0.3,1,3,31,1,"None",NA,"70_SK","no_t_w",111
"112","M1",0.3,1,3,32,1,"None",NA,"70_SK","no_t_w",112
"113","M1",0.3,1,3,33,0,"None",NA,"70_SK","no_t_w",113
"114","M1",0.3,1,3,34,1,"None",NA,"70_SK","no_t_w",114
"115","M1",0.3,1,3,35,1,"None",NA,"70_SK","no_t_w",115
"116","M1",0.3,1,3,36,1,"None",NA,"70_SK","no_t_w",116
"117","M1",0.3,1,3,37,0,"None",NA,"70_SK","no_t_w",117
"118","M1",0.3,1,3,38,1,"None",NA,"70_SK","no_t_w",118
"119","M1",0.3,1,3,39,0,"None",NA,"70_SK","no_t_w",119
"120","M1",0.3,1,3,40,1,"None",NA,"70_SK","no_t_w",120
"121","M2",0.7,-1,4,1,0,"None",NA,"70_SK","go_t_a",121
"122","M2",0.7,-1,4,2,0,"space",0.704044616511965,"70_SK","go_t_a",122
"123","M2",0.7,-1,4,3,-1,"space",0.463024594930175,"70_SK","go_t_a",123
"124","M2",0.7,-1,4,4,0,"None",NA,"70_SK","go_t_a",124
"125","M2",0.7,-1,4,5,0,"None",NA,"70_SK","go_t_a",125
"126","M2",0.7,-1,4,6,-1,"None",NA,"70_SK","go_t_a",126
"127","M2",0.7,-1,4,7,-1,"space",0.771955292930215,"70_SK","go_t_a",127
"128","M2",0.7,-1,4,8,-1,"None",NA,"70_SK","go_t_a",128
"129","M2",0.7,-1,4,9,-1,"space",0.448897643145756,"70_SK","go_t_a",129
"130","M2",0.7,-1,4,10,0,"space",0.577848415556218,"70_SK","go_t_a",130
"131","M2",0.7,-1,4,11,-1,"space",0.654875893349526,"70_SK","go_t_a",131
"132","M2",0.7,-1,4,12,0,"None",NA,"70_SK","go_t_a",132
"133","M2",0.7,-1,4,13,0,"None",NA,"70_SK","go_t_a",133
"134","M2",0.7,-1,4,14,-1,"None",NA,"70_SK","go_t_a",134
"135","M2",0.7,-1,4,15,0,"space",0.567750533933577,"70_SK","go_t_a",135
"136","M2",0.7,-1,4,16,-1,"None",NA,"70_SK","go_t_a",136
"137","M2",0.7,-1,4,17,-1,"space",0.380749998112151,"70_SK","go_t_a",137
"138","M2",0.7,-1,4,18,-1,"space",0.598709200268786,"70_SK","go_t_a",138
"139","M2",0.7,-1,4,19,-1,"None",NA,"70_SK","go_t_a",139
"140","M2",0.7,-1,4,20,-1,"space",0.870636872015893,"70_SK","go_t_a",140
"141","M2",0.7,-1,4,21,0,"None",NA,"70_SK","go_t_a",141
"142","M2",0.7,-1,4,22,0,"None",NA,"70_SK","go_t_a",142
"143","M2",0.7,-1,4,23,-1,"None",NA,"70_SK","go_t_a",143
"144","M2",0.7,-1,4,24,0,"space",1.0825948817801,"70_SK","go_t_a",144
"145","M2",0.7,-1,4,25,0,"None",NA,"70_SK","go_t_a",145
"146","M2",0.7,-1,4,26,0,"None",NA,"70_SK","go_t_a",146
"147","M2",0.7,-1,4,27,-1,"None",NA,"70_SK","go_t_a",147
"148","M2",0.7,-1,4,28,0,"None",NA,"70_SK","go_t_a",148
"149","M2",0.7,-1,4,29,0,"None",NA,"70_SK","go_t_a",149
"150","M2",0.7,-1,4,30,0,"None",NA,"70_SK","go_t_a",150
"151","M2",0.7,-1,4,31,-1,"None",NA,"70_SK","go_t_a",151
"152","M2",0.7,-1,4,32,0,"space",0.599389919025271,"70_SK","go_t_a",152
"153","M2",0.7,-1,4,33,0,"None",NA,"70_SK","go_t_a",153
"154","M2",0.7,-1,4,34,0,"None",NA,"70_SK","go_t_a",154
"155","M2",0.7,-1,4,35,-1,"None",NA,"70_SK","go_t_a",155
"156","M2",0.7,-1,4,36,-1,"None",NA,"70_SK","go_t_a",156
"157","M2",0.7,-1,4,37,-1,"space",0.586312874038413,"70_SK","go_t_a",157
"158","M2",0.7,-1,4,38,-1,"space",0.392284483081312,"70_SK","go_t_a",158
"159","M2",0.7,-1,4,39,0,"None",NA,"70_SK","go_t_a",159
"160","M2",0.7,-1,4,40,0,"None",NA,"70_SK","go_t_a",160
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
